Category,Language,Question,Answer
Account opening,Kinyarwanda,"Nashaka gufungura konti muri banki, ni inzira zihe zikenewe?","Kugira ngo ufungure konti, ugomba kuzuza ifishi, utange indangamuntu, hamwe n'ibindi byangombwa nkenerwa bitewe n'ubwoko bwa konti ushaka."
Account opening,Kinyarwanda,Ni amafaranga angahe akenewe kugira ngo mfungure konti nshya?,Amafaranga akenewe mu gufungura konti atandukanye bitewe n’ubwoko bwa konti ushaka. Nyamuneka saba amakuru arambuye muri banki.
Account opening,English,Why should I open a BK account?,"Opening a BK account provides you with access to a range of banking services, including easy transfers, savings, loans, and online banking. BK offers secure and convenient banking options with competitive interest rates and personalized customer support."
Account opening,English,How can I open a new account?,"To open a new account, visit any BK nearest branch or our website www.bk.rw."
Account opening,English,What types of accounts does Bank of Kigali offer?,"Bank of Kigali offers Current, Savings, Joint, and Corporate accounts."
Account opening,French,Pourquoi devrais-je ouvrir un compte BK?,"Ouvrir un compte BK vous donne accès à une gamme de services bancaires, y compris des transferts faciles, des économies, des prêts et la banque en ligne. BK propose des options bancaires sécurisées et pratiques avec des taux d'intérêt compétitifs et un support client personnalisé."
Account opening,French,Comment ouvrir un nouveau compte?,"Pour ouvrir un nouveau compte, visitez la succursale de BK la plus proche ou notre site Web www.bk.rw."
Account opening,French,Quels types de comptes propose la Banque de Kigali?,"La Banque de Kigali propose des comptes Courants, Épargnes, Communs et Corporatifs."
Cards,English,What types of cards does BK offer?,"BK offers debit cards, credit cards, and prepaid cards."
Cards,English,How can I apply for a BK card?,You can apply for a BK card online through our website or by visiting a BK branch.
Cards,English,What documents do I need to apply for a BK card?,"You will need a valid ID, proof of address, and a bank account with BK."
Cards,English,Can I use my BK card internationally?,"Yes, BK cards can be used internationally for payments and withdrawals."
Cards,English,How do I block my BK card if it's lost or stolen?,"To block your card, please contact BK customer support immediately or use the BK mobile app."
Cards,English,How can I check the balance on my BK card?,You can check your balance through the BK mobile app or by logging into your online banking account.
Cards,English,Are there any fees for using my BK card?,"Yes, there may be fees for international transactions, ATM withdrawals, and card replacement."
Cards,English,What is the difference between a debit card and a credit card?,"A debit card uses your bank account funds, while a credit card allows you to borrow money up to a credit limit."
Cards,English,Can I upgrade my BK card?,"Yes, you can upgrade your BK card by contacting customer support for more information."
Cards,French,Quels types de cartes BK propose-t-il?,"BK propose des cartes de débit, des cartes de crédit et des cartes prépayées."
Cards,French,Comment puis-je postuler pour une carte BK?,Vous pouvez postuler pour une carte BK en ligne via notre site Web ou en visitant une agence BK.
